ZTF20aafsnpp 0.044500 Ia
58913.4560532 2 19.6125 0.19077
58912.477037 2 19.6509 0.23836
58911.4725 2 19.5926 0.194885
58908.4962847 2 19.2818 0.123113
58906.4891667 2 19.1368 0.149149
58903.4273495 2 19.0932 0.123258
58901.4271296 2 19.0387 0.105213
58900.4280787 2 18.9351 0.114076
58899.4774074 2 18.9232 0.105194
58898.510081 2 18.9718 0.127659
58895.4553935 2 18.9255 0.132829
58894.4781481 2 18.9229 0.102126
58893.5360764 2 18.8417 0.12167
58893.5137731 2 18.9714 0.119164
58892.5078704 2 18.8889 0.100694
58891.4869444 2 18.866 0.116424
58890.4701157 2 18.6615 0.197733
58890.4668981 2 18.8553 0.192917
58888.4686574 2 18.5712 0.115022
58887.5102315 2 18.5342 0.0829795
58887.5093287 2 18.6658 0.133041
58886.5501042 2 18.5221 0.0778661
58885.5348727 2 18.4661 0.079313
58884.5520255 2 18.3889 0.0776847
58884.54875 2 18.5011 0.104561
58883.5267824 2 18.4518 0.0826357
58881.5614468 2 18.2206 0.0669868
58881.5600694 2 18.2355 0.0629253
58880.5313426 2 18.2528 0.0691252
58879.5327778 2 18.3773 0.12802
58878.3671065 2 18.2248 0.105572
58878.3656366 2 18.2276 0.0827068
58877.4920833 2 18.2287 0.075296
58876.5485417 2 18.1939 0.062894
58875.5349537 2 18.2255 0.088176
58875.5331597 2 18.2407 0.060871
58873.5118519 2 18.2839 0.0692893
58872.5727662 2 18.2388 0.0588511
58872.5718634 2 18.3095 0.0890142
58871.5270139 2 18.344 0.0732107
58863.5569213 2 19.665 0.194472
