ZTF19abgfrbl 0.092000 Ia
58716.3802199 2 19.6777 0.201716
58706.3993866 2 19.3759 0.117388
58703.4227546 2 19.2931 0.100828
58700.4022222 2 19.0731 0.125552
58698.4370139 2 18.9417 0.0950293
58697.4366551 2 18.8621 0.0892033
58695.4948264 2 18.7919 0.0889165
58694.4020486 2 18.7436 0.0698026
58691.4208681 2 18.6518 0.0968822
58688.4360069 2 18.775 0.08514
58683.4575579 2 18.9109 0.109069
58677.4856713 2 19.6134 0.160634
58674.478831 2 20.6318 0.348374
