ZTF19adbnfne 0.060000 Ia
58882.1114005 1 19.5523 0.194889
58882.0985995 1 19.4514 0.236631
58877.1875231 1 19.0565 0.137092
58874.1521991 1 18.6546 0.106948
58871.1556019 1 18.441 0.0825538
58867.1438542 1 18.1016 0.100243
58864.141169 1 17.9752 0.0626716
58862.1392245 1 17.9185 0.0602572
58861.0978819 1 17.8874 0.0639738
58859.0853125 1 17.8449 0.0676872
58849.126794 1 19.0781 0.0717779
58849.1019792 1 18.9718 0.0812747
58846.2173032 1 19.9138 0.139478
