ZTF19aboxjlj 0.070000 Ia
58762.164456 2 20.0617 0.172009
58761.1647222 2 20.1735 0.213584
58758.173287 2 19.8526 0.18805
58754.164294 2 19.5731 0.14704
58750.167037 2 19.7035 0.184943
58749.1667593 2 19.4874 0.0965215
58748.1652662 2 19.289 0.125484
58747.1661458 2 19.3439 0.0895194
58746.1906134 2 19.3436 0.121372
58743.1665509 2 19.2479 0.122167
58740.1659838 2 19.1479 0.161346
58738.1666667 2 19.1965 0.126596
58736.4141898 2 19.2701 0.12308
58733.3828125 2 19.1027 0.0858421
58730.391713 2 18.9331 0.0908239
58721.3278009 2 18.319 0.172871
58715.3682986 2 18.6541 0.102587
