ZTF20aaxmtxg 0.100215 Ia
58985.3086227 1 18.806 0.0753314
58981.2977894 1 18.7712 0.0907375
58980.4047685 1 18.7588 0.0935728
58979.261875 1 18.729 0.0999831
58978.3834491 1 18.7755 0.122346
58976.4762847 1 19.1274 0.192906
58975.3121991 1 19.1193 0.15686
58975.2973611 1 19.1507 0.148631
58974.4613542 1 18.9916 0.107904
58972.44875 1 19.495 0.120375
58971.4215856 1 19.5723 0.138506
58970.4478704 1 19.8534 0.144073
58968.4406481 1 20.4154 0.247555
