ZTF18abquyqj 0.019000 Ia
58895.1191782 2 18.8635 0.0747016
58892.1323727 2 18.6265 0.0829481
58887.1219792 2 18.3241 0.0732969
58884.1295255 2 18.2258 0.141414
58881.1134722 2 17.949 0.0703896
58875.1084722 2 17.9004 0.0522879
58872.1134259 2 17.8615 0.0625728
58867.089919 2 17.7494 0.126493
58859.1512153 2 17.1216 0.04532
58856.1643981 2 17.1668 0.0517552
58854.1252894 2 17.2105 0.0447392
58850.1069329 2 17.415 0.0620899
58846.1088773 2 17.8161 0.0562463
