ZTF18abcrxoj 0.031000 Ia
58365.2179282 1 19.6891 0.180909
58362.1940741 1 19.5829 0.142502
58350.2378241 1 19.4091 0.216308
58346.1573958 1 19.4017 0.123045
58343.1807755 1 19.388 0.112386
58336.1861574 1 19.1052 0.0905171
58333.1785185 1 18.8547 0.106098
58330.1741782 1 18.5544 0.0890164
58327.1751273 1 18.305 0.0961034
58324.2565625 1 18.0142 0.0810994
58314.241956 1 16.9068 0.0426642
58308.1957755 1 16.5536 0.0401786
58302.1984375 1 16.6549 0.0367741
58299.1826736 1 16.9853 0.046233
58293.2172801 1 19.0754 0.184322
