ZTF18acsovsw 0.041000 Ia
58567.2291782 2 20.2789 0.180461
58556.2048264 2 19.8543 0.243268
58513.4402431 2 18.3589 0.258484
58513.4363079 2 18.4788 0.135018
58513.4363079 2 18.4788 0.135018
58511.411956 2 18.4399 0.0598974
58507.2767593 2 18.1794 0.0630052
58502.506088 2 17.934 0.0681207
58493.4576852 2 17.6479 0.0393382
58492.4740741 2 17.6332 0.0658965
58486.4742014 2 17.5223 0.0445215
58481.4183218 2 17.2029 0.031463
58480.4543171 2 17.1019 0.0329389
58472.4378704 2 16.7785 0.0350015
58471.5269097 2 16.7997 0.028252
58464.5242824 2 17.1181 0.0407231
58461.5230093 2 17.5947 0.0462667
58455.4804398 2 20.0663 0.176113
58455.4625579 2 20.1097 0.156611
