ZTF20aaeoqqd 0.050000 II
58894.1251273 2 19.2506 0.110969
58891.1191667 2 19.1225 0.116776
58887.1206134 2 19.1966 0.14265
58881.1139236 2 18.9135 0.112386
58877.1216204 2 18.7328 0.0830238
58874.1134028 2 18.6408 0.0701259
58871.0965741 2 18.4303 0.0650754
58867.1098727 2 18.3642 0.0742702
58860.2024306 2 18.4016 0.0883319
58859.1663773 2 18.4397 0.0701763
58856.1648495 2 19.0818 0.0997183
