ZTF18abvgjft 0.077000 II
58464.5256829 2 20.1696 0.176467
58464.5247685 2 20.3861 0.203388
58455.4996296 2 19.9217 0.172002
58455.4991782 2 19.9318 0.192611
58455.4567477 2 20.1231 0.197466
58455.4562847 2 20.0421 0.194098
58448.451875 2 19.4327 0.197246
58443.4409491 2 19.7675 0.179666
58441.3926273 2 19.5389 0.203247
58441.3825116 2 19.636 0.168591
58440.5059491 2 19.685 0.137319
58440.5054977 2 19.5924 0.155972
58439.3539352 2 19.5625 0.167355
58434.4767477 2 19.4472 0.14614
58432.3912384 2 19.4928 0.15237
58430.4975463 2 19.5481 0.16128
58430.4634838 2 19.4802 0.102691
58427.4831019 2 19.3433 0.143061
58427.4628125 2 19.3484 0.150384
58424.5414699 2 19.3169 0.13104
58390.502419 2 18.4286 0.0787822
58390.5019676 2 18.3391 0.0874893
58387.4832523 2 18.5575 0.100595
58387.4828009 2 18.4965 0.125158
58383.5272338 2 18.7139 0.110723
58379.5262037 2 18.9782 0.16579
58378.5093403 2 19.0355 0.096943
58375.5138194 2 19.3602 0.137306
58372.5155903 2 19.5539 0.199255
