ZTF19aatudsq 0.033900 Ia
58640.460544 2 20.3054 0.193949
58637.4203935 2 19.904 0.171312
58637.4199421 2 20.0101 0.153865
58634.4208796 2 19.9476 0.139012
58634.3364468 2 20.0064 0.198073
58619.4179167 2 18.1739 0.291823
58617.4810995 2 18.7808 0.0804621
58607.384838 2 18.3259 0.076062
58607.3843866 2 18.3608 0.087745
