ZTF19abqsojs 0.065000 Ia-91T
58750.1433912 1 19.1021 0.109392
58747.1404745 1 18.8095 0.0937625
58743.1246644 1 18.5049 0.0947423
58737.1375231 1 17.9865 0.0635786
58734.2202315 1 17.9384 0.0580504
58727.1548148 1 17.851 0.0582807
58724.1813194 1 18.0016 0.0557233
58718.1809606 1 18.9202 0.095685
58715.1626968 1 20.938 0.286025
