ZTF19aamtwiz 0.044680 II
58642.2011343 1 20.5412 0.307865
58633.261169 1 20.1932 0.154025
58612.2915394 1 20.0705 0.144729
58606.4031944 1 19.7802 0.154578
58600.2163542 1 19.583 0.121693
58597.3129282 1 19.5505 0.126104
58594.2088542 1 19.4266 0.211558
58587.3298727 1 19.2988 0.130965
58587.2240278 1 19.8579 0.215661
58584.2860417 1 19.1815 0.13
58580.2590509 1 18.9615 0.0826409
58575.2991782 1 18.8597 0.0781577
58572.320625 1 18.8071 0.106303
58567.2767477 1 18.7467 0.124778
58562.3178472 1 18.8516 0.253777
