ZTF18accngee 0.083254 Ia-91T
58987.2023148 1 19.9376 0.199005
58981.1716435 1 19.9989 0.162405
58972.2290046 1 19.7573 0.339466
58965.2082755 1 20.0085 0.173856
58962.2086343 1 20.0939 0.234241
58954.1830556 1 19.9979 0.169127
58903.3006481 1 20.0255 0.165699
58903.2734144 1 19.9796 0.189665
58894.2974653 1 19.8015 0.146835
58891.2315741 1 19.8587 0.234006
58883.419919 1 20.0513 0.312091
58880.4216435 1 19.8776 0.186656
58874.3557292 1 20.01 0.156185
58871.4007292 1 19.8917 0.181089
58862.458287 1 19.6616 0.312592
58855.4612731 1 20.0164 0.235409
58852.4791435 1 19.9148 0.154781
58849.4634491 1 19.977 0.199524
58827.5468866 1 19.9708 0.172279
58814.5184722 1 19.7481 0.228174
58798.5441204 1 19.9668 0.224582
58764.5192477 1 19.9838 0.187699
58758.5036806 1 20.0261 0.25781
58494.4669676 1 20.0787 0.164227
58491.4391319 1 20.1313 0.19838
