ZTF18abdcudb 0.087000 Ia
58725.2598148 2 20.259 0.200049
58724.2858796 2 20.4515 0.256304
58723.2858218 2 20.135 0.167375
58721.2614236 2 20.2472 0.2597
58720.2822917 2 20.0429 0.15585
58719.2615046 2 20.1343 0.227171
58718.2825347 2 20.1508 0.180195
58716.282037 2 19.9265 0.19288
58715.2609144 2 19.9709 0.179275
58711.1765625 2 19.7613 0.205928
58710.1767824 2 19.5597 0.193488
58709.2066319 2 19.7723 0.175391
58708.2070023 2 19.6486 0.152973
58707.2055903 2 19.6216 0.16044
58706.2086806 2 19.6231 0.141436
58705.2060648 2 19.5126 0.165908
58704.2883681 2 19.5146 0.130484
58703.2937153 2 19.4371 0.121499
58702.2919213 2 19.4525 0.14078
58701.2925694 2 19.5247 0.121426
58700.2888079 2 19.4418 0.104043
58699.2922801 2 19.5098 0.106941
58698.2921065 2 19.2806 0.161052
58697.311088 2 19.3872 0.109644
58696.289537 2 19.3425 0.0948973
58694.3454167 2 19.2856 0.0989035
58693.3500116 2 19.2697 0.108022
58692.3314931 2 19.1813 0.0908835
58691.3634259 2 19.1236 0.0821659
58690.350706 2 19.121 0.0830356
58688.3690856 2 18.9538 0.086759
58685.3495833 2 18.8116 0.0827528
58684.2479977 2 18.7829 0.113301
58683.2578472 2 18.8147 0.0978457
58683.2293287 2 18.7339 0.110162
58682.2765625 2 18.6948 0.0881955
58681.2981597 2 18.7615 0.0971275
58680.2782755 2 18.6212 0.107788
58679.2332176 2 18.65 0.119505
58678.2437731 2 18.6414 0.0805035
58677.2838889 2 18.709 0.0761765
58674.3086574 2 18.9137 0.0893022
58671.4058565 2 19.1377 0.209886
58668.3486806 2 19.3231 0.0957412
58665.4283102 2 20.0729 0.191508
