ZTF20aafciit 0.080000 Ia
58908.3477662 1 20.8873 0.346489
58906.3434028 1 20.6439 0.231542
58904.4291667 1 20.487 0.321024
58903.3627662 1 20.4519 0.205985
58900.3649769 1 20.5682 0.247244
58893.4692245 1 19.7047 0.142007
58890.5112384 1 19.1914 0.314685
58887.4509028 1 19.0757 0.118519
58884.472338 1 18.8063 0.0915569
58881.4902662 1 18.6357 0.0655274
58878.5128704 1 18.5091 0.0829877
58875.4686921 1 18.4021 0.069318
58872.4300579 1 18.2589 0.0525165
58867.450625 1 18.4421 0.070042
58862.4742361 1 19.0281 0.131972
