ZTF19aaxibby 0.056000 Ia
58701.3813194 2 19.7754 0.145207
58698.4021991 2 19.7055 0.142841
58694.3597222 2 19.6044 0.10019
58691.394375 2 19.5385 0.155276
58688.3964005 2 19.3556 0.107309
58685.4178009 2 19.2555 0.155548
58660.4827083 2 18.5519 0.0786951
58657.4188773 2 18.573 0.115755
58653.4393287 2 18.3983 0.105775
58650.4216782 2 18.4804 0.110624
58644.4812384 2 18.731 0.0930717
58641.4815972 2 19.0092 0.0994715
58635.3990394 2 20.3254 0.257369
