ZTF20aafclxb 0.008700 II
58986.2313079 2 18.7674 0.0715783
58981.2335301 2 18.736 0.0655796
58954.2299421 2 18.4806 0.0485733
58941.3595486 2 18.0929 0.067129
58914.3560069 2 17.069 0.0301058
58908.4523843 2 17.1253 0.0356755
58899.3345255 2 17.1285 0.025449
58895.437338 2 17.0986 0.0427857
58892.332963 2 17.0593 0.038571
58883.5017824 2 16.9406 0.0389257
58876.3513426 2 16.8796 0.0299747
58873.5064352 2 16.8504 0.0399873
58861.5229514 2 16.9434 0.04466
