ZTF18ablqlzp 0.041400 Ia
58369.1303472 2 18.1583 0.0680048
58365.155081 2 18.0823 0.0603605
58362.1591551 2 17.9352 0.0633956
58359.2400579 2 17.7432 0.0622189
58356.2171875 2 17.5225 0.0473736
58353.2335069 2 17.4585 0.0604046
58353.1621528 2 17.4489 0.0563817
58350.1536111 2 17.408 0.0541818
58346.1759606 2 17.477 0.0602622
58343.1609722 2 17.7046 0.0695881
58336.2141898 2 19.1531 0.106254
