ZTF19abqgzea 0.049000 Ia
58763.4922569 2 19.6696 0.129448
58759.4891898 2 19.441 0.117265
58756.5103819 2 19.3409 0.116793
58750.4842708 2 18.9409 0.109348
58747.4673843 2 18.8506 0.109825
58744.4481944 2 18.906 0.11926
58741.4706481 2 18.7647 0.0949487
58738.51375 2 18.7761 0.0784888
58735.5114352 2 18.5792 0.0755512
58732.497037 2 18.4134 0.0558243
58725.4940394 2 18.0435 0.0524478
58722.4899421 2 18.069 0.0625537
58719.4680787 2 18.2209 0.0754059
58716.4946759 2 18.3041 0.0743329
58710.4263542 2 19.677 0.312301
