ZTF19abimlck 0.048083 Ia
58766.1489931 2 19.9846 0.196747
58764.148912 2 20.2886 0.25063
58761.1670023 2 20.1033 0.279974
58760.1679861 2 19.9398 0.158964
58759.2111343 2 20.0206 0.185161
58754.1664815 2 19.8246 0.157666
58751.1668403 2 19.8262 0.180085
58749.168912 2 19.8359 0.191223
58748.1674074 2 19.7751 0.180945
58747.168287 2 19.691 0.141489
58746.1928125 2 19.5284 0.13473
58745.1683912 2 19.6665 0.122309
58743.168669 2 19.4616 0.144636
58741.1682292 2 19.3005 0.183105
58740.1680671 2 19.4288 0.197571
58739.167662 2 19.2447 0.203237
58738.16875 2 19.1519 0.141027
58736.4239931 2 19.0888 0.087531
58733.3874537 2 18.8385 0.0792267
58730.3950116 2 18.696 0.0641075
58726.3069676 2 18.6607 0.0780238
58723.3812963 2 18.5709 0.0609447
58717.321794 2 18.486 0.0829595
58714.3676389 2 18.3108 0.0720023
58711.4041319 2 18.1606 0.0678989
58708.4901736 2 17.9486 0.048932
58705.454456 2 17.8776 0.0485486
58702.3936343 2 17.7957 0.0411578
58699.3851042 2 17.8876 0.0530537
58696.3815509 2 18.0651 0.0599123
58693.3830787 2 18.3367 0.0485383
58690.4060764 2 18.8398 0.0720463
