ZTF19abhjhes 0.080000 Ia
58709.4994676 1 19.7145 0.171562
58706.4661806 1 19.4088 0.157817
58703.4773843 1 19.1366 0.0986566
58700.5021065 1 18.8277 0.102714
58700.4629861 1 18.8238 0.110042
58697.4881366 1 18.6519 0.0901937
58697.4652546 1 18.6446 0.0826527
58694.4753704 1 18.6013 0.0793854
58691.4710532 1 18.6722 0.0810231
58688.4884722 1 18.9237 0.129149
58688.4787037 1 18.851 0.113882
58682.4893403 1 19.8474 0.331687
