ZTF19aauisdr 0.043300 II
58660.2151968 2 20.2687 0.211406
58657.2702894 2 20.2004 0.212661
58654.1943519 2 20.178 0.22113
58648.2125116 2 19.9072 0.297709
58642.235162 2 19.4526 0.140065
58639.1698611 2 19.1771 0.0952602
58636.2240741 2 19.0087 0.0841306
58633.2080208 2 18.7496 0.0850941
58628.2887384 2 18.6547 0.079663
58616.1698264 2 19.3577 0.149801
58612.2465741 2 20.0102 0.134686
