ZTF18aczemzj 0.050000 Ia
58494.5409838 1 19.143 0.134858
58494.5400694 1 19.0304 0.101134
58491.5180671 1 18.7934 0.0788766
58491.5176157 1 18.8141 0.107811
58487.5172222 1 18.389 0.0729596
58487.5163079 1 18.432 0.0816022
58480.5246181 1 18.2298 0.0989099
58480.5237037 1 18.1607 0.0872082
58472.5181481 1 19.0399 0.122131
