ZTF19aailltc 0.088000 Ia
58612.256875 1 20.8953 0.303738
58609.2125694 1 20.8647 0.218754
58606.395706 1 20.7459 0.320122
58606.3938889 1 20.7518 0.254105
58600.2149653 1 20.8601 0.299704
58597.275625 1 20.8649 0.295061
58596.2134491 1 20.6584 0.294335
58586.260706 1 20.649 0.343559
58585.2279745 1 20.512 0.305324
58584.2716667 1 20.2099 0.237938
58580.2576736 1 20.3792 0.240898
58580.2418171 1 20.29 0.188043
58575.312581 1 19.9761 0.16863
58575.2896875 1 20.1219 0.185859
58572.3545023 1 19.9071 0.228913
58572.2604861 1 19.9571 0.21298
58567.4058333 1 19.7467 0.284059
58567.2582523 1 19.5744 0.160975
58561.287581 1 19.1818 0.253042
58559.3340625 1 19.1626 0.14754
58559.3177894 1 19.2198 0.162259
58556.3698148 1 19.0582 0.164509
58546.2884028 1 18.6936 0.0941111
58543.3829167 1 18.6008 0.381464
58543.3829167 1 18.6008 0.381464
58543.2979282 1 18.6873 0.117019
58540.3878588 1 18.6064 0.0959982
58538.320081 1 18.6911 0.182972
58538.2989931 1 18.5402 0.153923
58526.4591088 1 19.1922 0.183199
58526.4412269 1 19.197 0.131198
58522.4836111 1 20.0259 0.154988
58522.4392361 1 20.1592 0.239304
