ZTF19aawqckx 0.034000 Ia
58717.2725579 2 19.6692 0.17899
58715.2726389 2 19.5776 0.167722
58708.1975926 2 19.303 0.200242
58707.1962269 2 19.6291 0.146756
58706.1975463 2 19.8279 0.211008
58705.1967824 2 19.7228 0.164627
58704.2789815 2 19.3546 0.172741
58703.284375 2 19.421 0.132774
58702.2825116 2 19.5657 0.146781
58701.2831134 2 19.3412 0.147816
58700.2792477 2 19.4325 0.164458
58699.2827315 2 19.3114 0.0989232
58697.3017708 2 19.084 0.104803
58696.2797801 2 19.2557 0.11606
58695.2783333 2 19.2048 0.147714
58694.2036574 2 19.2553 0.113328
58693.2169792 2 19.1678 0.0969588
58692.3329398 2 19.1034 0.102514
58691.1821296 2 19.0744 0.0910144
58688.385625 2 18.9538 0.108746
58685.3403472 2 18.8217 0.079718
58684.2389236 2 18.7431 0.103513
58683.2486921 2 18.7028 0.0713251
58683.2204745 2 18.7718 0.103178
58682.2597106 2 18.6269 0.0891147
58681.2588426 2 18.585 0.0811976
58680.2569676 2 18.4944 0.11085
58679.2387731 2 18.4821 0.068457
58678.2236111 2 18.3583 0.0826621
58677.2653935 2 18.2362 0.0563129
58668.3320833 2 17.8571 0.0471079
58665.3466782 2 17.8327 0.0483664
58663.3410417 2 17.8148 0.0450116
58662.2462847 2 17.692 0.046565
58661.3262384 2 17.6084 0.0484949
58657.3661574 2 17.3287 0.0426748
58655.2190394 2 17.1312 0.0464653
58654.3618519 2 17.1398 0.0469735
58651.3388426 2 17.0611 0.0494689
58648.2626968 2 17.0777 0.0449924
58645.3030208 2 17.2937 0.0475024
58642.2862037 2 17.675 0.0492064
58639.304919 2 18.5504 0.0652591
58636.3297569 2 19.7139 0.182758
