ZTF19aaqhelq 0.056600 Ia
58618.202963 2 18.3875 0.070993
58616.1650463 2 18.4882 0.0944741
58612.2059838 2 18.2408 0.0477708
58606.2708565 2 17.8628 0.0530054
58606.1950116 2 17.9412 0.0602321
58597.3644792 2 17.821 0.0494671
58594.3226157 2 18.0362 0.0784979
58593.2858449 2 18.0046 0.0797474
58591.3612153 2 18.4583 0.102801
