ZTF19acxpnvd 0.084900 Ia
58856.539375 1 19.7509 0.204465
58855.5207986 1 19.7083 0.182647
58855.480162 1 19.6176 0.188812
58853.5023958 1 19.5627 0.155869
58852.5032755 1 19.4554 0.104291
58852.5028241 1 19.5066 0.136908
58849.5018171 1 19.1465 0.114422
58849.5008333 1 19.3358 0.132341
58838.4990509 1 18.6456 0.156012
58837.5022106 1 18.7733 0.148397
58837.5017593 1 18.8081 0.177542
58831.5466319 1 19.0703 0.182325
58831.5461806 1 18.902 0.272009
58828.5455556 1 19.376 0.227884
58828.5451157 1 19.5397 0.299675
