ZTF18abupiap 0.100000 Ia
58760.328912 2 20.3018 0.27691
58748.4396065 2 20.2467 0.238381
58736.503125 2 20.242 0.221433
58705.4788773 2 20.2058 0.204213
58698.5006019 2 20.4756 0.322356
58388.4815394 2 19.6156 0.190728
58382.3744444 2 19.1364 0.0932406
58378.3963194 2 19.1553 0.102971
58375.4826273 2 18.9939 0.0931554
58372.3958333 2 19.1813 0.107457
