ZTF20aaertpj 0.026000 Ib
58985.2752431 2 20.4129 0.201071
58903.4972454 2 20.0561 0.127947
58898.4975231 2 19.7414 0.116739
58895.4950347 2 19.6079 0.14066
58890.4614931 2 19.3275 0.218831
58887.5333449 2 19.2131 0.126272
58884.5395833 2 18.9755 0.0827297
58881.528287 2 18.8798 0.0816558
58878.5582407 2 18.6502 0.10961
58875.5285417 2 18.5503 0.065831
58872.5581713 2 18.4695 0.0924591
58856.574456 2 19.5478 0.13271
