ZTF19acbqzvu 0.065000 Ia
58811.1153241 2 19.745 0.152032
58804.2145486 2 19.4436 0.251209
58800.2679977 2 19.1033 0.167924
58799.216956 2 19.323 0.181041
58799.2164931 2 19.2099 0.161765
58798.2073264 2 19.2833 0.165172
58797.1239468 2 19.1511 0.157383
58795.0876736 2 19.0586 0.107051
58794.1092245 2 19.1161 0.152254
58792.1408681 2 19.0379 0.106927
58792.1404167 2 18.9502 0.102568
58792.1334375 2 19.0585 0.128245
58791.1128472 2 18.9976 0.0905238
58790.1253241 2 18.9522 0.110811
58790.1248611 2 19.0677 0.101735
58789.2231366 2 18.9701 0.120629
58788.2248727 2 18.9387 0.140837
58785.2366551 2 18.8052 0.0841079
58785.2362037 2 18.7605 0.087685
58779.2112963 2 18.5543 0.0651787
58779.2108449 2 18.4831 0.0659245
58776.1957986 2 18.4443 0.0770006
58775.2061921 2 18.4036 0.0519434
58770.2451505 2 18.4392 0.0795851
58769.1156019 2 18.6322 0.0815524
58766.1202083 2 18.7826 0.118647
58763.2537269 2 19.2158 0.102041
58763.1632755 2 19.2525 0.112515
58762.1620139 2 19.3722 0.120793
58761.1622801 2 19.6735 0.142306
58760.2667477 2 19.7697 0.130896
58760.1632986 2 19.7779 0.135598
58758.1708449 2 20.2741 0.24595
