ZTF18acmznfc 0.084000 Ia
58481.4292824 2 19.5467 0.149889
58480.435625 2 19.3645 0.150549
58471.2777662 2 19.3768 0.153261
58464.2952431 2 19.0795 0.135037
58461.509919 2 19.1108 0.158367
58461.509456 2 18.9081 0.112896
58455.4959259 2 18.5637 0.075957
58455.4954745 2 18.6504 0.0879297
58455.4525347 2 18.6669 0.081822
58450.3922569 2 18.5665 0.0876285
58450.3918056 2 18.4653 0.071163
58447.4360301 2 18.4723 0.121705
58447.3077662 2 18.7441 0.181383
58443.404838 2 18.7169 0.0867184
58443.3663773 2 18.7346 0.108709
58443.365463 2 18.9494 0.144944
58441.4350926 2 18.8631 0.0923437
58441.3590856 2 18.9947 0.0934653
58441.3491898 2 18.8829 0.099272
58438.5047338 2 19.2798 0.130627
58437.3803819 2 19.7448 0.192952
