ZTF20aabqjht 0.080000 Ia
58936.4541898 2 20.3377 0.182954
58914.5100116 2 19.7538 0.14582
58911.4771412 2 19.5587 0.189521
58906.4829745 2 19.2135 0.177596
58903.4972454 2 19.1453 0.10459
58898.4975231 2 18.9649 0.094552
58895.4950347 2 18.9225 0.0895895
58890.4614931 2 18.7305 0.143679
58887.5333449 2 18.6621 0.0660629
58884.5395833 2 18.6121 0.0830846
58881.528287 2 18.497 0.0765713
58878.5582407 2 18.3449 0.0874217
58875.5285417 2 18.2659 0.064943
58872.5581713 2 18.0717 0.0613064
58859.4969792 2 18.2155 0.0713433
58856.574456 2 18.5285 0.0432855
58852.5651968 2 19.1413 0.0652489
58850.5164931 2 19.6291 0.131001
