ZTF19ablovot 0.044000 Ia
58736.4756134 1 19.8512 0.191423
58735.4207407 1 20.0393 0.200414
58733.456713 1 19.8449 0.160553
58732.3988079 1 19.4922 0.14187
58726.4049769 1 18.9522 0.0786944
58725.4393866 1 18.9608 0.0714148
58723.4180556 1 18.6115 0.0826013
58722.4171875 1 18.5881 0.0698961
58719.4825694 1 18.2043 0.0617166
58717.4183449 1 17.9225 0.0639174
58711.5010532 1 17.5625 0.0717552
58709.4626273 1 17.5025 0.0454038
58707.417419 1 17.4809 0.0479753
58706.4606944 1 17.5522 0.0442412
58704.4188542 1 17.7017 0.0544524
58703.4993056 1 17.7847 0.0590767
58699.4568981 1 18.5982 0.086832
58696.4392824 1 19.5926 0.134108
58696.438831 1 19.6007 0.138724
