ZTF18acqppuj 0.040000 II
58522.5320718 2 19.7505 0.208888
58508.4934722 2 19.5073 0.187711
58494.5536111 2 19.6383 0.127608
58486.5084144 2 19.3626 0.148071
58481.4983681 2 19.2241 0.133098
58480.5463426 2 19.1377 0.173037
58476.4787384 2 18.8698 0.107527
58474.487662 2 18.9767 0.19816
58468.5327894 2 18.661 0.0750956
58465.5149421 2 18.4565 0.0680625
58448.5571296 2 18.6068 0.10906
58448.5097917 2 18.6927 0.126663
