ZTF19abacxwt 0.090000 Ia-91T
58683.179294 1 19.5543 0.13422
58679.1712384 1 19.2253 0.230603
58676.1717708 1 18.6561 0.1142
58670.2085185 1 18.2247 0.0782142
58667.1940741 1 18.1809 0.0553552
58661.2145486 1 18.1922 0.0602955
58658.2075694 1 18.2602 0.0547133
58654.253669 1 18.5455 0.0940715
58651.1896991 1 18.9959 0.181983
