ZTF18adazgdh 0.076700 Ia
58494.467419 1 18.923 0.0900074
58494.4669676 1 18.9314 0.0771812
58491.4597685 1 18.7239 0.109676
58491.4391319 1 18.7418 0.100964
58486.4379282 1 18.791 0.10379
58486.4360995 1 18.792 0.106582
58482.5153704 1 18.995 0.128099
58482.51125 1 19.0827 0.112148
58480.4849653 1 19.2824 0.154828
58480.4845139 1 19.3217 0.180509
