ZTF20aahdwze 0.049000 Ia
58954.1711574 1 20.6404 0.231535
58939.2977199 1 20.1671 0.301411
58915.2216319 1 19.5653 0.238215
58912.2622454 1 19.0712 0.0997699
58906.2837847 1 18.5836 0.065991
58903.2634375 1 18.3289 0.0627447
58899.3597917 1 18.0036 0.05545
58896.2461574 1 17.7085 0.0416658
58896.238287 1 17.7104 0.0418622
58895.2200347 1 17.6714 0.0391779
58894.3058565 1 17.5812 0.0466182
58893.2200463 1 17.5262 0.0391789
58893.2191319 1 17.5189 0.0503862
58891.2016088 1 17.4112 0.0556229
58890.2826157 1 17.2827 0.0393649
58890.281713 1 17.3382 0.0499495
58888.2849421 1 17.2831 0.0511718
58887.2337731 1 17.273 0.0500143
58886.2407639 1 17.2082 0.0439291
58886.2398611 1 17.2341 0.0375542
58885.3078356 1 17.2392 0.0377722
58884.3013773 1 17.2495 0.056212
58883.426794 1 17.2455 0.0472504
58883.4253819 1 17.2234 0.0466619
58881.2436227 1 17.3094 0.0364197
58880.4333565 1 17.3671 0.047332
58880.432419 1 17.3375 0.0473841
58879.2593634 1 17.4275 0.0510074
58878.2678009 1 17.5091 0.060986
58877.3645255 1 17.716 0.046256
58877.2438773 1 17.6778 0.0465918
58876.241875 1 17.7994 0.0489921
58876.241875 1 17.7997 0.04937
58875.4261343 1 17.9529 0.060067
58874.3688889 1 18.194 0.0489354
58874.3675116 1 18.2107 0.0534183
58873.3725926 1 18.4544 0.0580451
58872.2381829 1 18.9298 0.096364
58871.406956 1 19.269 0.107892
58871.4060532 1 19.1885 0.114275
