ZTF19abzrjrg 0.070000 Ia
58778.5263079 1 20.1407 0.204215
58769.5158681 1 19.4939 0.168613
58766.4681019 1 19.3564 0.0922224
58763.4677894 1 19.1053 0.107501
58759.4674421 1 18.9712 0.119157
58756.4726736 1 18.8851 0.0965073
58751.4852199 1 18.8285 0.0959976
58748.5087153 1 18.9835 0.107683
58745.5135301 1 19.109 0.138976
