ZTF18abebzog 0.044000 Ia
58336.2934606 1 20.1467 0.178332
58323.4321412 1 19.3148 0.124453
58323.4311921 1 19.4396 0.154883
58322.4359954 1 19.3095 0.131432
58321.4159028 1 19.2467 0.0888074
58320.4522685 1 19.1615 0.148337
58320.4363194 1 19.1365 0.100851
58319.392963 1 19.3046 0.178241
58318.4150463 1 19.2196 0.0899598
58317.3869329 1 19.2047 0.108228
58317.3850463 1 19.171 0.13259
58316.3918981 1 19.1148 0.135356
58314.3889468 1 19.1034 0.10474
58311.3665394 1 19.1915 0.114387
58311.3651389 1 19.2197 0.125515
58310.3699653 1 19.2045 0.1065
58307.3419097 1 19.3586 0.10334
