ZTF19aanpcep 0.031400 II
58616.283912 1 20.3857 0.315739
58612.3007407 1 20.1617 0.151786
58606.4188657 1 20.06 0.143148
58596.4434838 1 19.4242 0.149412
58592.4362384 1 19.0844 0.167999
58589.4134838 1 18.6371 0.141669
58586.4080208 1 18.2938 0.0642385
58583.369456 1 18.0715 0.0722896
58580.4107639 1 17.9303 0.0571688
58575.3496759 1 17.9029 0.050336
58572.3414583 1 18.137 0.0868571
