ZTF19ablusdf 0.057000 Ia
58723.2689005 1 21.2803 0.514665
58720.1870255 1 20.8543 0.267077
58711.2655671 1 19.5024 0.152457
58708.2317593 1 19.3257 0.168183
58707.2306366 1 19.1791 0.137384
58706.2337269 1 19.3205 0.16246
58705.2309722 1 19.2533 0.134011
58704.3122222 1 19.2792 0.117802
58703.3167477 1 19.3469 0.113749
58702.3163079 1 19.5314 0.11423
58700.3135532 1 19.9268 0.165975
58699.3169907 1 20.1541 0.165666
58697.3340394 1 20.6065 0.216573
58696.3147801 1 21.0862 0.328041
