ZTF19aceckdq 0.024600 II
58831.4522569 2 19.0678 0.168504
58828.4277315 2 18.9193 0.0980213
58812.5628935 2 18.7071 0.0848812
58804.5514815 2 18.8551 0.114492
58792.5106829 2 18.5111 0.0730895
58789.5300116 2 18.2818 0.0732271
58785.5134375 2 18.3997 0.0738623
58776.5079745 2 18.1634 0.0859738
58770.4918866 2 18.3724 0.112022
