ZTF20aayxkqy 0.131000 Ia
58987.4144097 1 19.31 0.0958002
58986.3873958 1 19.2569 0.0992844
58985.3062731 1 19.2755 0.101468
58981.3055671 1 19.355 0.159028
58980.4109259 1 19.4249 0.153721
58979.2552315 1 19.4418 0.129012
58975.2605208 1 20.0371 0.303103
58973.4561111 1 20.5066 0.2984
58972.4567708 1 20.7702 0.269367
58971.4276852 1 20.9578 0.239797
