ZTF19aavnuur 0.026000 II
58679.2019792 2 19.3463 0.211551
58673.2076157 2 19.2891 0.222052
58667.226794 2 19.3634 0.151963
58661.1984491 2 19.1185 0.123972
58658.1786111 2 19.3268 0.154155
58655.1749884 2 19.0894 0.14977
58652.276088 2 19.1142 0.182277
58649.2180093 2 19.1309 0.172482
58646.2250926 2 18.9917 0.14103
58642.214213 2 19.0788 0.104476
58639.1771644 2 19.0446 0.0917578
58633.1865162 2 19.4436 0.144802
