ZTF19aavxikq 0.060000 Ia
58669.1983102 1 18.9389 0.124834
58662.1960995 1 18.424 0.0988782
58662.1951852 1 18.3971 0.0952233
58654.2317824 1 17.86 0.0844383
58650.1860532 1 17.6924 0.0746589
58650.1699074 1 17.5422 0.18954
58643.1944097 1 17.6509 0.0593974
58642.1676852 1 17.7179 0.0595025
58640.1687037 1 17.8543 0.0701166
58637.233912 1 18.3011 0.0961416
58635.1891319 1 18.8891 0.116472
58634.2134954 1 19.155 0.115696
