ZTF19abpangr 0.038300 Ic-BL
58735.5119097 2 20.0233 0.178505
58732.5078241 2 20.0877 0.15582
58727.5060532 2 19.8307 0.138612
58724.4944213 2 19.7514 0.152611
58718.487419 2 19.4908 0.131938
58715.4500347 2 19.0602 0.109102
58712.4557639 2 18.9323 0.127573
58708.5065625 2 18.6383 0.0995988
58705.4698264 2 18.4239 0.0703002
