ZTF19abpfxfs 0.054000 Ia
58738.5081597 2 19.639 0.152775
58732.4741204 2 19.2544 0.101484
58727.4950116 2 18.9604 0.110967
58724.4901968 2 18.8099 0.087836
58721.4896065 2 18.8269 0.238201
58718.483912 2 18.5912 0.0640806
58715.4547685 2 18.6274 0.0854305
58712.4322569 2 18.8801 0.0969786
58706.4919792 2 19.9526 0.181904
