ZTF19aaksrgj 0.085900 Ia
58586.2317593 2 19.857 0.18629
58583.2744907 2 19.6308 0.185451
58580.3146528 2 19.5492 0.153471
58580.2778588 2 19.6002 0.14134
58572.2974537 2 19.3279 0.238251
58567.3585764 2 19.1968 0.173079
58567.3173727 2 19.2787 0.125445
58560.337963 2 19.0261 0.137737
58557.3589236 2 18.7568 0.115663
58547.3121296 2 18.7563 0.104511
58547.3116782 2 18.778 0.105233
58547.3116782 2 18.778 0.105233
58543.3580903 2 19.1362 0.232748
58543.3576273 2 18.8896 0.157045
58539.3557292 2 19.2575 0.21247
