ZTF19aczrmvs 0.080000 Ia
58877.161956 2 19.7094 0.147982
58873.1772917 2 19.6199 0.122649
58871.2336111 2 19.5997 0.141744
58867.232338 2 19.5257 0.122715
58861.1909028 2 19.3863 0.208073
58860.2115972 2 19.2441 0.200857
58860.2088426 2 19.115 0.222404
58859.2678125 2 19.2081 0.144239
58854.169838 2 18.7056 0.233216
58850.1421296 2 18.7319 0.120336
58846.2521181 2 18.8787 0.124786
58836.4204977 2 19.6661 0.201629
