ZTF19acszmgx 0.042000 II
58896.1949884 1 20.3996 0.222753
58893.1828356 1 20.2543 0.171671
58877.2071065 1 20.0207 0.146071
58871.2068519 1 19.9117 0.123962
58867.1999421 1 20.0054 0.20613
58863.1501505 1 19.8735 0.136348
58855.1874306 1 19.3725 0.246224
58852.1297338 1 19.5784 0.238523
58836.2202778 1 19.367 0.106873
58833.207037 1 19.0875 0.190349
58812.4131944 1 18.6127 0.0613537
58806.3711921 1 18.546 0.0915661
58803.5300231 1 18.8044 0.186744
