ZTF19acaxcwg 0.037000 Ia
58846.0997685 1 20.1727 0.169155
58831.1068981 1 19.8472 0.22984
58819.1691667 1 19.7801 0.203539
58812.159838 1 19.6803 0.128227
58811.1750694 1 19.6527 0.182747
58806.1789931 1 19.5664 0.173567
58803.1758681 1 19.3414 0.215393
58802.2199769 1 19.3174 0.152043
58800.1749653 1 19.0899 0.201745
58797.2033565 1 18.9525 0.141493
58797.1707176 1 19.031 0.20401
58796.1820139 1 18.8561 0.149925
58794.1997106 1 18.7412 0.107072
58794.1682292 1 18.7957 0.129592
58791.2549884 1 18.5937 0.0944622
58791.1996181 1 18.5639 0.104628
58788.2053588 1 18.3852 0.078464
58785.2177778 1 18.1244 0.075355
58764.3574537 1 17.1188 0.0611224
58763.2023727 1 17.1491 0.044245
58762.2008912 1 17.1855 0.0481214
58761.2016551 1 17.2572 0.0472648
58760.2025926 1 17.3503 0.0460571
58754.2010648 1 18.4693 0.0764013
58751.2012616 1 20.0362 0.216478
