ZTF19aaloqmd 0.033500 II
58636.2491898 1 20.8063 0.342195
58633.2587963 1 20.5495 0.293871
58616.2302083 1 20.1178 0.332435
58606.4036458 1 19.8889 0.138909
58600.2349653 1 19.7411 0.224243
58596.2129861 1 19.6198 0.124926
58586.2737847 1 19.4391 0.141125
58580.3007523 1 19.1814 0.112874
58575.2962616 1 19.077 0.095048
58572.3187847 1 18.8171 0.113231
58567.2908449 1 18.6106 0.107559
58562.3055093 1 18.3937 0.16434
58559.3516782 1 18.3624 0.0800137
58556.3776736 1 18.3614 0.08802
58547.33875 1 18.3677 0.0659914
