ZTF19abgsyrp 0.042000 Ia
58747.1455671 1 20.502 0.327917
58744.1300694 1 20.3898 0.238169
58741.1279051 1 20.124 0.263492
58726.2501968 1 19.5205 0.170215
58723.186794 1 19.2457 0.10165
58720.1746759 1 18.9964 0.105537
58711.233287 1 18.3235 0.0888672
58707.2709838 1 18.0403 0.0733151
58688.2975579 1 18.211 0.0640628
58684.2916551 1 19.2166 0.143547
