ZTF20aahqbsr 0.022055 II
58980.2695718 2 19.081 0.0610171
58979.3142708 2 19.0834 0.112921
58974.3170023 2 18.9658 0.128856
58974.2825347 2 18.9806 0.116843
58973.3337153 2 18.9458 0.094168
58971.3607523 2 18.9627 0.0953109
58970.3970486 2 18.9032 0.0456432
58967.3524884 2 18.9337 0.0624676
58966.3725926 2 18.9092 0.0486343
58965.350625 2 18.8773 0.0444706
58964.4058796 2 18.8994 0.0757514
58962.3062731 2 18.9154 0.0789259
58961.4228241 2 18.8738 0.0749319
58955.4219444 2 18.7454 0.0604263
58954.4617361 2 18.8307 0.0830607
58944.4023611 2 18.7292 0.0802224
58943.464838 2 18.7148 0.0671559
58941.4221759 2 18.7356 0.0484692
58939.4339468 2 18.7633 0.161328
58936.4565278 2 18.7586 0.0545667
58914.5066898 2 18.6044 0.0461398
58911.4968171 2 18.5531 0.0599554
58903.4595255 2 18.6047 0.0541479
58898.4984838 2 18.6282 0.046096
58893.5238773 2 18.5817 0.0593582
58890.498831 2 18.5346 0.127063
58887.534294 2 18.599 0.0622534
58884.5576042 2 18.5989 0.0588659
58881.5452431 2 18.6294 0.0477211
58878.5600116 2 18.561 0.0710555
58875.5546181 2 18.6799 0.063373
58872.5591319 2 18.7484 0.0958166
