ZTF19aaxpjpq 0.072900 Ia
58673.2012731 2 19.2424 0.156662
58670.1837963 2 19.0984 0.150603
58667.221331 2 19.3188 0.146721
58662.1851042 2 18.9123 0.112682
58662.1819329 2 18.9593 0.126094
58658.1859144 2 18.8358 0.0893072
58654.1785532 2 18.6833 0.0933212
58649.2226273 2 18.5919 0.121602
58649.2217245 2 18.7129 0.13559
58646.2153356 2 18.7327 0.0834051
58643.2470949 2 19.192 0.145435
58643.2439236 2 19.0525 0.129317
58640.2347917 2 19.6888 0.193816
58640.2255903 2 19.6258 0.139981
