ZTF19acmdpyr 0.045000 Ia
58812.1148032 1 17.8771 0.0633283
58811.0700231 1 17.8684 0.0870379
58804.0980787 1 17.5671 0.0649705
58801.0919213 1 17.6112 0.0882806
58798.1020718 1 17.6794 0.0517131
58797.135 1 17.6963 0.0583847
58796.1432639 1 17.8101 0.0747166
58795.1206944 1 17.958 0.0698829
58794.1331019 1 18.1405 0.0710865
58793.1425231 1 18.2823 0.072036
58791.1320486 1 18.6751 0.0951666
58790.1031597 1 19.07 0.12799
58789.1188889 1 19.169 0.146801
