ZTF20aafdglk 0.040000 Ia
58905.1186921 2 18.9764 0.184914
58894.1312847 2 18.5745 0.0685877
58891.1127431 2 18.571 0.0778557
58887.1122222 2 18.2844 0.0767597
58884.1317824 2 18.1638 0.0911984
58880.1510995 2 17.9613 0.0714314
58877.1235185 2 17.9106 0.0538772
58874.1147569 2 17.9502 0.0692986
58871.0906481 2 18.0469 0.0566974
