ZTF19acvwllm 0.080000 Ia
58871.0910995 2 19.8255 0.160588
58860.1778588 2 19.4391 0.209408
58855.1935764 2 19.434 0.169011
58854.1339005 2 19.2546 0.198401
58852.1558218 2 19.221 0.0941424
58850.1247801 2 18.7246 0.180111
58849.1520486 2 19.0986 0.0873937
58849.0798843 2 19.1553 0.0721697
58846.1424884 2 19.0177 0.0890718
58837.0796759 2 18.6628 0.0631896
58836.1037963 2 18.6914 0.0622151
58833.097419 2 18.6102 0.0780011
58831.0958796 2 18.4619 0.0794104
58830.2857639 2 18.4377 0.0646061
58830.237581 2 18.5199 0.0929521
58828.2052546 2 18.4295 0.130834
58819.1594213 2 18.9898 0.0796992
58819.1142014 2 19.204 0.228736
58814.1873495 2 20.068 0.214331
58814.1530208 2 20.0638 0.198448
58812.2405093 2 20.9686 0.380552
