ZTF19acaqqxo 0.018000 II
58898.3488194 2 20.0494 0.180947
58896.3094792 2 19.9438 0.18083
58895.2898727 2 20.3066 0.225932
58894.2796181 2 20.2324 0.20263
58894.2786806 2 20.1976 0.177999
58893.3271296 2 20.1992 0.223908
58893.2801157 2 20.3524 0.26937
58886.2988889 2 20.1599 0.383076
58881.3673264 2 20.2484 0.209639
58880.3447106 2 20.1243 0.213736
58880.3197801 2 20.2071 0.250532
58879.3397222 2 19.8478 0.258979
58878.3335995 2 20.0293 0.24393
58877.345706 2 20.0717 0.177269
58876.3266667 2 20.0224 0.185555
58875.3025579 2 20.074 0.243075
58874.3037963 2 19.979 0.159461
58874.3028704 2 19.9758 0.174697
58871.3277894 2 20.1035 0.232992
58871.3170718 2 19.9451 0.179378
58867.3692824 2 19.9538 0.210226
58864.3221528 2 19.9968 0.18053
58855.5340162 2 19.9614 0.186843
58852.4534954 2 19.8825 0.184092
58851.4562153 2 19.8 0.177912
58849.4409028 2 19.7341 0.194838
58846.4680208 2 19.7475 0.161558
58846.4298264 2 19.8094 0.156375
58838.5123264 2 19.6993 0.276845
58833.4524074 2 19.5437 0.206935
58831.4527199 2 19.7716 0.313698
58804.5510185 2 18.291 0.104982
58798.5418634 2 18.2608 0.0814703
58794.5349537 2 18.1864 0.0646927
58791.5135764 2 18.1895 0.0704437
58788.533912 2 18.1548 0.0691991
58785.5139005 2 18.1084 0.0686425
58776.5066088 2 18.0667 0.0710293
58770.4932523 2 18.1039 0.0950071
58764.4925926 2 18.0213 0.0545686
58761.5068287 2 18.0699 0.0730687
58758.5276736 2 18.0204 0.0756583
