ZTF19acbmjrp 0.085000 Ia
58806.3164236 2 19.6896 0.136074
58803.3136458 2 19.3725 0.129782
58796.3196296 2 19.1445 0.140553
58793.3577199 2 19.1771 0.112793
58790.3685764 2 19.0144 0.100938
58787.3383102 2 18.9285 0.310887
58784.3909259 2 18.8207 0.155492
58778.3770023 2 18.6547 0.0960099
58775.3740509 2 18.508 0.0761748
58769.4399653 2 18.4963 0.0816448
58766.4825231 2 18.6114 0.0740375
58763.4991435 2 18.7756 0.0758264
58756.4991551 2 19.5515 0.0995345
58751.5029051 2 20.6655 0.32376
