ZTF20aautscv 0.059200 Ia
58985.1708333 1 19.7399 0.149508
58980.1711806 1 19.2894 0.112984
58976.1749421 1 18.9202 0.147534
58973.2434838 1 18.6277 0.100572
58968.2468287 1 18.2091 0.0695983
58968.2325 1 18.2039 0.065793
58967.2420255 1 18.0638 0.0584585
58965.2115856 1 17.9991 0.0796842
58964.2023032 1 17.9732 0.0803823
58954.2762269 1 18.2994 0.0966143
