ZTF19aaxyukr 0.087000 Ia
58698.1779861 2 19.7878 0.213218
58684.1854861 2 19.2824 0.140612
58681.2433681 2 18.9924 0.144652
58672.1947569 2 19.0734 0.0967094
58669.1856481 2 18.9312 0.0962151
58654.1891898 2 18.491 0.075473
58647.2320255 2 18.6675 0.103829
58644.2556944 2 19.0299 0.0955146
58641.2760185 2 19.5759 0.117739
58638.2321991 2 20.2768 0.221989
