ZTF20aahqcup 0.100000 Ia
58893.4825579 1 19.8844 0.160888
58886.4973727 1 19.4189 0.197598
58884.422662 1 19.1285 0.182192
58883.4846412 1 19.257 0.172489
58881.5193634 1 19.1712 0.116501
58879.5055556 1 19.021 0.201114
58878.5386343 1 19.026 0.119093
58876.5371759 1 19.0292 0.0991572
58876.5371759 1 19.0348 0.100492
58875.4860069 1 19.0958 0.137802
58873.5509722 1 19.0657 0.108744
58872.4498032 1 19.2179 0.167144
